links,names,ratings,price for one,cuisine,images,address,timing,contact
https://www.zomato.com/visakhapatnam/alpha-hotel-since-1948-jagadamba-junction-vizag/info,Alpha Hotel -Since 1948,4.0,₹500 for two,"Biryani, Seafood, North Indian, Chinese",https://b.zmtcdn.com/data/pictures/5/2800095/ef97be36b81f5a0315957f0c30a070bf_featured_v2.jpg,"Jagadamba Junction, Vizag",,+918912797533
https://www.zomato.com/visakhapatnam/tulips-hotel-green-park-ram-nagar-vizag/info,Tulips - Hotel Green Park,4.2,"₹2,500 for two","North Indian, Chinese, South Indian, Continental",https://b.zmtcdn.com/data/pictures/5/2800045/b60520476a525f33f283fee2e76592f4_featured_v2.jpg,"Ram Nagar, Vizag",Opens at 7pm,+918916615151
https://www.zomato.com/visakhapatnam/platform-65-waltair-uplands-vizag/info,Platform 65,3.9,"₹1,700 for two","South Indian, North Indian, Chinese, Biryani, Sichuan, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/3/20099543/cf98f851810b772b1e64243e158b17e9_featured_v2.jpg,"Waltair Uplands, Vizag",Opens at 7pm,+918500186299
https://www.zomato.com/visakhapatnam/best-western-plus-tejvivaan-dondaparithy-vizag/info,Best Western Plus Tejvivaan,4.2,₹800 for two,"North Indian, Andhra, Continental, Oriental, Biryani, Desserts",https://b.zmtcdn.com/data/pictures/0/19457700/f4d96b73caaea00f7d7cb2343f2173db_featured_v2.jpg,"Dondaparithy, Vizag",,+919866820099
https://www.zomato.com/visakhapatnam/sri-sairam-parlour-dwaraka-nagar-vizag/info,Sri Sairam Parlour,4.3,₹500 for two,"Andhra, South Indian, Chinese, North Indian",https://b.zmtcdn.com/data/pictures/chains/4/2800294/7de9ba6d45fd03cc3b611a1e3175ae9a_featured_v2.jpg,"Dwaraka Nagar, Vizag",,+918106798484
https://www.zomato.com/visakhapatnam/dharani-jagadamba-junction-vizag/info,Dharani,4.2,₹800 for two,"North Indian, South Indian, Chinese, Desserts, Ice Cream, Beverages",https://b.zmtcdn.com/data/pictures/7/2800067/aff87c5351ea01722c399ea5dbebef20_featured_v2.jpg,"Jagadamba Junction, Vizag",,+917674982777
https://www.zomato.com/visakhapatnam/tap-the-sports-bar-1-maharani-peta-vizag/info,Tap The Sports Bar,3.9,"₹3,000 for two","North Indian, Chinese, Kebab, Beverages",https://b.zmtcdn.com/data/pictures/6/20040286/81ed1c2e3fd8e276c0fb2b56dffbcccc_featured_v2.jpg,"Maharani Peta, Vizag",,+918886267774
https://www.zomato.com/visakhapatnam/house-of-punjab-vishalaksmi-nagar-vizag/info,House Of Punjab,3.9,₹550 for two,"North Indian, Biryani, Seafood, Mughlai, Chinese, Sichuan",https://b.zmtcdn.com/data/pictures/1/21392931/a3ebfb3402a11ff421552cfef29b0a72_o2_featured_v2.jpg,"Vishalaksmi Nagar, Vizag",,+919697946789
https://www.zomato.com/visakhapatnam/house-of-punjab-1-mvp-colony-vizag/info,House Of Punjab,3.7,"₹1,500 for two","North Indian, Chinese, Biryani, Fast Food, Continental, Seafood, Desserts",https://b.zmtcdn.com/data/pictures/8/21164158/cc7213116d5458e5086b92c5185f5736_featured_v2.jpg,"MVP Colony, Vizag",Opens in 27 minutes,+918886222304
https://www.zomato.com/visakhapatnam/gluttons-garage-kirlampudi-layout-vizag/info,Gluttons Garage,3.7,"₹1,000 for two","Continental, Chinese, Healthy Food, Salad, Pizza, Pasta, Fast Food, Desserts",https://b.zmtcdn.com/data/pictures/3/2801153/b80278f3772c56ed1f90e14095ecf195_featured_v2.jpg,"Kirlampudi Layout, Vizag",,+918912564688
https://www.zomato.com/visakhapatnam/celebrations-restaurant-akkayyapalem-vizag/info,Celebrations Restaurant,3.9,₹700 for two,"Continental, Chinese, South Indian, Biryani, Andhra, North Indian, Kebab, Ice Cream",https://b.zmtcdn.com/data/pictures/7/19880257/42c663e43ce9c9ce832ba98afc9d562f_featured_v2.jpg,"Akkayyapalem, Vizag",Opens in 12 minutes,+916304781922
